ip,click_time
87540,2017-11-07 09:30:38
105560,2017-11-07 13:40:27
101424,2017-11-07 18:05:24
94584,2017-11-07 04:58:08
68413,2017-11-09 09:00:09
93663,2017-11-09 01:22:13
17059,2017-11-09 01:17:58
121505,2017-11-07 10:01:53
192967,2017-11-08 09:35:17
143636,2017-11-08 12:35:26
73839,2017-11-08 08:14:37
34812,2017-11-07 05:03:14
114809,2017-11-09 10:24:23
114220,2017-11-08 14:46:16
36150,2017-11-07 00:54:09
72116,2017-11-08 23:17:45
5314,2017-11-09 07:33:41
106598,2017-11-09 03:44:35
72065,2017-11-06 23:14:08
37301,2017-11-06 20:07:00
28735,2017-11-09 09:55:22
66918,2017-11-08 17:01:58
25761,2017-11-08 02:05:37
8362,2017-11-07 10:30:00
45257,2017-11-07 01:35:31
145896,2017-11-07 03:58:58
162976,2017-11-07 16:19:05
52432,2017-11-07 17:22:52
135690,2017-11-07 06:39:04
139137,2017-11-07 10:11:50
48846,2017-11-09 03:14:43
70747,2017-11-07 14:00:50
10831,2017-11-09 12:39:11
89242,2017-11-07 09:37:21
140138,2017-11-07 07:01:20
28411,2017-11-06 23:45:32
127888,2017-11-06 16:24:24
75943,2017-11-07 13:28:54
87879,2017-11-07 03:20:59
250933,2017-11-08 11:09:48
133933,2017-11-07 11:11:53
35096,2017-11-09 15:26:37
49431,2017-11-07 23:11:39
53365,2017-11-09 04:23:01
92599,2017-11-09 10:04:27
107148,2017-11-07 00:49:13
116677,2017-11-08 00:56:33
11051,2017-11-08 02:14:22
48240,2017-11-08 14:40:36
92488,2017-11-08 17:33:47
74999,2017-11-09 15:17:12
123221,2017-11-07 15:31:06
4019,2017-11-09 01:10:59
40168,2017-11-07 02:22:07
328403,2017-11-09 03:20:31
134466,2017-11-08 10:42:25
122354,2017-11-07 23:16:58
104645,2017-11-09 12:57:00
184757,2017-11-08 09:31:27
3488,2017-11-07 00:12:44
63994,2017-11-07 03:21:03
52076,2017-11-08 16:41:39
88604,2017-11-06 16:28:06
9073,2017-11-08 04:55:00
105861,2017-11-06 20:25:19
25114,2017-11-08 02:07:55
25876,2017-11-08 09:57:39
61941,2017-11-07 23:07:23
79827,2017-11-08 18:21:09
99641,2017-11-08 03:46:58
171729,2017-11-07 10:31:02
257816,2017-11-09 12:29:52
100494,2017-11-07 13:32:03
5348,2017-11-08 13:17:06
137208,2017-11-07 10:24:13
81356,2017-11-09 11:57:10
58128,2017-11-07 12:29:28
71483,2017-11-08 00:59:09
7521,2017-11-09 12:14:23
100066,2017-11-07 09:12:27
259930,2017-11-08 11:30:35
30240,2017-11-08 16:04:19
63109,2017-11-09 01:43:11
5314,2017-11-07 14:11:43
36311,2017-11-09 00:57:14
44494,2017-11-09 11:26:20
111021,2017-11-08 05:49:05
210555,2017-11-06 16:13:31
6414,2017-11-09 14:22:16
123729,2017-11-08 23:07:32
73040,2017-11-07 16:49:07
334558,2017-11-09 05:45:08
123994,2017-11-09 14:27:57
94536,2017-11-07 04:50:30
127351,2017-11-07 16:27:20
2600,2017-11-07 19:16:25
99926,2017-11-06 18:06:05
114878,2017-11-07 02:35:23
173847,2017-11-08 14:57:14
145747,2017-11-07 13:54:07
94081,2017-11-09 02:52:27
74725,2017-11-08 10:55:35
51895,2017-11-09 07:26:02
75431,2017-11-08 11:34:40
104922,2017-11-08 04:52:24
173247,2017-11-06 23:20:50
124006,2017-11-07 05:15:40
77310,2017-11-07 15:04:21
61667,2017-11-07 05:00:39
118349,2017-11-09 01:07:36
46650,2017-11-09 03:54:49
337099,2017-11-09 07:16:38
34067,2017-11-07 15:06:06
61635,2017-11-08 11:02:22
145260,2017-11-08 04:48:54
110245,2017-11-07 22:41:22
77730,2017-11-07 16:17:45
108831,2017-11-09 06:36:51
124794,2017-11-08 13:46:43
61706,2017-11-09 12:02:20
91175,2017-11-07 01:20:11
82618,2017-11-08 09:51:04
81970,2017-11-09 11:33:43
301417,2017-11-08 23:20:26
187501,2017-11-09 01:39:34
20295,2017-11-08 15:58:40
25885,2017-11-09 01:47:06
104753,2017-11-07 09:44:02
191339,2017-11-07 10:36:50
103208,2017-11-09 15:32:16
92092,2017-11-07 11:52:05
82427,2017-11-08 08:53:30
47543,2017-11-07 13:40:51
335694,2017-11-09 05:05:49
175559,2017-11-08 03:42:29
158312,2017-11-07 05:31:24
108040,2017-11-08 09:27:05
85072,2017-11-07 05:23:41
197093,2017-11-07 23:36:05
209540,2017-11-07 13:32:27
79909,2017-11-07 19:22:18
199702,2017-11-07 04:53:19
40372,2017-11-08 00:40:29
178124,2017-11-08 02:47:03
18654,2017-11-07 08:55:35
20309,2017-11-09 10:16:00
74640,2017-11-09 01:09:02
93460,2017-11-08 05:08:40
80455,2017-11-07 01:46:16
104729,2017-11-08 13:48:06
58485,2017-11-08 07:14:46
91885,2017-11-08 17:07:52
111324,2017-11-07 03:20:24
27342,2017-11-09 01:21:52
153208,2017-11-07 16:05:27
54868,2017-11-07 18:59:38
278420,2017-11-08 11:32:53
204614,2017-11-09 09:48:30
85172,2017-11-09 12:38:59
103161,2017-11-07 12:47:06
59075,2017-11-09 11:13:17
239191,2017-11-08 12:48:30
85839,2017-11-07 06:57:07
71424,2017-11-07 06:45:17
63516,2017-11-09 12:05:34
37919,2017-11-06 17:13:19
43809,2017-11-08 11:11:50
39454,2017-11-07 13:37:35
8718,2017-11-09 02:07:48
58950,2017-11-09 01:18:50
86812,2017-11-07 12:01:09
55805,2017-11-07 18:53:51
175660,2017-11-08 01:13:51
29785,2017-11-08 02:59:48
88881,2017-11-09 11:46:39
134615,2017-11-07 10:00:54
34352,2017-11-08 06:03:58
124320,2017-11-08 06:02:37
80306,2017-11-08 23:52:23
24830,2017-11-09 05:01:01
195224,2017-11-07 07:55:58
72805,2017-11-07 10:49:19
93498,2017-11-09 09:58:21
111685,2017-11-08 06:48:06
83366,2017-11-09 02:30:02
94844,2017-11-09 08:37:45
105311,2017-11-09 08:21:52
168144,2017-11-09 00:40:37
20592,2017-11-09 05:58:55
100002,2017-11-08 02:29:19
37515,2017-11-08 15:59:24
121357,2017-11-07 00:06:49
63925,2017-11-07 08:52:29
83366,2017-11-08 05:20:27
26995,2017-11-07 05:49:46
37836,2017-11-09 08:05:07
11090,2017-11-08 09:08:18
65785,2017-11-09 01:07:59
94765,2017-11-08 04:28:13
98363,2017-11-07 10:38:38
106241,2017-11-07 03:19:48
112950,2017-11-07 04:13:44
11668,2017-11-08 00:24:59
91885,2017-11-08 15:22:50
105292,2017-11-07 17:39:28
108048,2017-11-08 04:43:51
113751,2017-11-07 00:54:53
66232,2017-11-09 11:14:21
69315,2017-11-08 08:48:26
64663,2017-11-09 05:41:46
69197,2017-11-07 03:24:27
125481,2017-11-08 14:32:27
143473,2017-11-07 20:01:14
169833,2017-11-09 07:07:52
75634,2017-11-08 11:48:45
46132,2017-11-08 02:47:43
111025,2017-11-07 09:48:50
62145,2017-11-07 15:10:45
191961,2017-11-07 01:59:27
133804,2017-11-09 13:15:18
61423,2017-11-07 06:49:57
49850,2017-11-08 20:45:07
151507,2017-11-07 15:20:39
73456,2017-11-08 05:32:54
5348,2017-11-09 14:12:06
88789,2017-11-09 04:39:56
37892,2017-11-08 13:06:36
234832,2017-11-08 07:27:41
145896,2017-11-06 16:09:13
109299,2017-11-07 22:18:35
12549,2017-11-07 11:53:46
103443,2017-11-07 20:13:12
46637,2017-11-07 09:33:43
11907,2017-11-08 05:16:11
98531,2017-11-09 13:55:57
198014,2017-11-07 15:54:27
47689,2017-11-07 11:28:29
96037,2017-11-09 04:05:59
3966,2017-11-08 22:39:41
34725,2017-11-08 11:35:05
285115,2017-11-09 15:08:40
15540,2017-11-07 10:36:33
49882,2017-11-08 08:53:51
20411,2017-11-07 05:40:08
33076,2017-11-07 08:02:44
103021,2017-11-08 14:35:35
